KP_source,relation,KP_target,KP_source_id,KP_target_id
Histograms (直方图),requires,Histogram as Table or Graph (直方图表与统计图),82,3
Stem and Leaf Plot (茎叶图),requires,Histograms (直方图),83,82
Reflection (镜像/反射),requires,Pythagorean Theorem (勾股定理/皮氏定理),84,21
Rotations (旋转),requires,Pythagorean Theorem (勾股定理/皮氏定理),85,21
Rotations (旋转),requires,Pythagorean Theorem (勾股定理/皮氏定理),86,21
Area Irregular Figure (不规则图形面积),requires,Surface Area of a Cylinder (圆柱表面积),87,32
Area Parallelogram (平行四边形面积),requires,Surface Area of a Cylinder (圆柱表面积),88,32
Translations (平移),requires,Pythagorean Theorem (勾股定理/皮氏定理),89,21
Area Trapezoid (梯形面积),requires,Surface Area of a Cylinder (圆柱表面积),90,32
Symmetry (对称性),requires,Pythagorean Theorem (勾股定理/皮氏定理),91,21
Surface Area Cylinder (圆柱表面积),requires,Surface Area of a Cylinder (圆柱表面积),92,32
Surface Area Rectangular Prism (长方体表面积),requires,Surface Area of a Cylinder (圆柱表面积),93,32
Volume Cylinder (圆柱体积),requires,Volume of a Rectangular Prism (长方体体积),94,35
Volume (体积基础),requires,Volume of a Rectangular Prism (长方体体积),95,35
Volume Sphere (球体体积),requires,Volume of a Rectangular Prism (长方体体积),96,35
Order of Operations positive reals (正实数四则运算法则),requires,Order of Operations (运算法则),97,58
Order of Operations All (综合运算顺序),requires,Order of Operations (运算法则),98,58
Equation Solving Two or Fewer Steps (简易方程求解),requires,Algebraic Simplification (代数式化简),99,70
Volume of Cylinder (圆柱体积),requires,Volume of a Rectangular Prism (长方体体积),100,35
Volume of a Cone (圆锥体积),requires,Volume of a Rectangular Prism (长方体体积),101,35
Greatest Common Factor (最大公约数),requires,Proportion (比例),102,50
Computation with Real Numbers (实数计算),requires,Nets of 3D Figures (几何体展开图),103,22
Write Linear Equation from Ordered Pairs (根据坐标对写线性方程),requires,Solving Systems of Linear Equations by Graphing (利用图像解线性方程组),104,123
Writing Linear Eq (写线性方程),requires,Nets of 3D Figures (几何体展开图),105,22
Slope (斜率),requires,Solving Systems of Linear Equations by Graphing (利用图像解线性方程组),106,123
Write Linear Equation from Graph (根据图像写线性方程),requires,Solving Systems of Linear Equations by Graphing (利用图像解线性方程组),107,123
Finding Slope From Situation (从情境中求斜率),requires,Solving Systems of Linear Equations by Graphing (利用图像解线性方程组),108,123
Finding Slope From Equation (根据方程求斜率),requires,Solving Systems of Linear Equations by Graphing (利用图像解线性方程组),109,123
Probability (中高阶概率),requires,Median (中位数),110,115
Distributive Property (乘法分配律),requires,Nets of 3D Figures (几何体展开图),111,22
Midpoint (中点),requires,Nets of 3D Figures (几何体展开图),112,22
Polynomial Factors (多项式因式分解),requires,Quadratic Formula to Solve Quadratic Equation (二次方程求根公式),113,116
Recognize Quadratic Pattern (识别二次项规律),requires,Quadratic Formula to Solve Quadratic Equation (二次方程求根公式),114,116
Median (中位数),requires,Mean (平均数),115,9
Quadratic Formula to Solve Quadratic Equation (二次方程求根公式),requires,Solving Systems of Linear Equations by Graphing (利用图像解线性方程组),116,123
Parts of a Polyomial (多项式构成：项、系数、变量、指数等),requires,Nets of 3D Figures (几何体展开图),117,22
Interpreting Coordinate Graphs (坐标图解读),requires,Median (中位数),118,115
Skill 119 (技能119-待定),requires,Nets of 3D Figures (几何体展开图),119,22
Solving for a variable (求指定变量/公式变形),requires,Algebraic Simplification (代数式化简),120,70
Simplifying Expressions positive exponents (正指数幂化简),requires,Algebraic Simplification (代数式化简),121,70
Mean (平均数),requires,Median (中位数),122,115
Solving Systems of Linear Equations by Graphing (利用图像解线性方程组),requires,Intercept (截距),123,73
